"id","age","gender","race","driving_experience","education","income","credit_score","vehicle_ownership","vehicle_year","married","children","postal_code","annual_mileage","vehicle_type","speeding_violations","duis","past_accidents","outcome"
569520,3,0,1,0,2,3,"0.629027313918201","1.0",1,"0.0","1.0",10238,"12000.0",0,0,0,0,"0.0"
750365,0,1,1,0,0,0,"0.3577571170184627","0.0",0,"0.0","0.0",10238,"16000.0",0,0,0,0,"1.0"
199901,0,0,1,0,2,1,"0.4931457852181982","1.0",0,"0.0","0.0",10238,"11000.0",0,0,0,0,"0.0"
478866,0,1,1,0,3,1,"0.2060128507324556","1.0",0,"0.0","1.0",32765,"11000.0",0,0,0,0,"0.0"
731664,1,1,1,1,0,1,"0.3883658881572184","1.0",0,"0.0","0.0",32765,"12000.0",0,2,0,1,"1.0"
877557,2,0,1,2,2,3,"0.6191273725847388","1.0",1,"0.0","1.0",10238,"13000.0",0,3,0,3,"0.0"
930134,3,1,1,3,2,3,"0.4929435502195342","0.0",1,"1.0","1.0",10238,"13000.0",0,7,0,3,"0.0"
461006,1,0,1,0,3,1,"0.468689297434465","0.0",1,"0.0","1.0",10238,"14000.0",0,0,0,0,"1.0"
68366,2,0,1,2,3,1,"0.5218149362971065","0.0",0,"1.0","0.0",10238,"13000.0",0,0,0,0,"0.0"
445911,2,0,1,0,2,3,"0.5615310319383646","1.0",0,"0.0","1.0",32765,"11000.0",0,0,0,0,"1.0"
275820,3,1,1,3,2,3,"0.6203612640126029","1.0",1,"1.0","1.0",10238,"10000.0",0,6,2,7,"0.0"
521399,3,0,1,3,2,3,"0.7298308815593941","1.0",1,"1.0","0.0",32765,"12000.0",0,4,0,0,"0.0"
429728,2,1,1,2,2,3,"0.6370447435902447","1.0",0,"1.0","1.0",10238,"8000.0",0,4,1,2,"0.0"
569640,0,0,1,0,3,3,"0.59125997174597","1.0",0,"0.0","1.0",10238,"",0,0,0,0,"0.0"
980181,1,1,1,1,2,2,"0.4615679630439447","1.0",0,"1.0","1.0",10238,"12000.0",0,0,2,1,"0.0"
906223,1,0,1,0,2,3,"0.7627979410816134","0.0",1,"1.0","0.0",10238,"",0,0,0,0,"0.0"
517747,3,1,1,3,3,3,"0.7961748462456987","1.0",0,"1.0","1.0",32765,"",0,10,2,1,"0.0"
24851,0,1,1,0,0,0,"","0.0",0,"1.0","0.0",32765,"12000.0",0,0,0,0,"1.0"
104086,1,0,1,0,3,3,"0.6805942795073384","1.0",0,"0.0","1.0",32765,"",0,0,0,0,"1.0"
240658,0,0,1,0,2,1,"0.4177139816231188","1.0",0,"0.0","1.0",10238,"18000.0",0,0,0,0,"1.0"
484399,0,0,1,0,2,1,"0.4095135306516067","0.0",0,"0.0","0.0",10238,"17000.0",0,0,0,0,"1.0"
912828,0,1,1,0,2,2,"0.5532600531952381","1.0",1,"1.0","1.0",32765,"8000.0",0,0,0,0,"1.0"
892754,2,1,1,2,0,0,"0.3309502618581893","1.0",0,"1.0","1.0",10238,"13000.0",0,3,1,1,"0.0"
217,0,1,1,0,0,0,"","0.0",0,"0.0","0.0",10238,"17000.0",0,0,0,0,"0.0"
633896,3,1,1,3,2,3,"0.5006306604427161","1.0",0,"1.0","1.0",32765,"7000.0",0,13,2,3,"0.0"
193110,1,0,1,1,3,2,"0.5519701813636283","1.0",0,"1.0","0.0",10238,"14000.0",1,0,0,0,"0.0"
98515,2,1,1,1,2,2,"0.6269960497386653","1.0",0,"0.0","0.0",10238,"13000.0",0,1,1,0,"0.0"
165623,1,1,1,1,0,0,"0.2947974807719967","1.0",0,"1.0","0.0",10238,"15000.0",0,0,0,1,"0.0"
493590,1,1,1,1,3,2,"0.5519504952618395","0.0",1,"0.0","0.0",10238,"17000.0",0,0,0,1,"0.0"
389792,3,1,1,0,3,3,"0.649820471216227","1.0",1,"1.0","1.0",32765,"9000.0",0,0,0,0,"1.0"
642614,2,1,1,2,2,2,"0.5218044346397632","1.0",1,"1.0","1.0",92101,"7000.0",0,2,0,1,"0.0"
951465,3,0,1,3,3,3,"0.7012683240604196","1.0",0,"1.0","1.0",10238,"10000.0",0,3,1,1,"0.0"
496987,0,1,1,0,0,0,"0.1712440288213211","1.0",0,"1.0","1.0",10238,"9000.0",0,0,0,0,"0.0"
732437,0,1,1,0,0,0,"0.3184419972124171","1.0",0,"0.0","1.0",32765,"10000.0",0,0,0,0,"1.0"
146897,1,0,1,0,2,2,"0.6046842696715551","1.0",0,"1.0","1.0",21217,"11000.0",0,0,0,0,"1.0"
316173,0,1,1,0,3,1,"0.5049948526440377","0.0",1,"0.0","0.0",32765,"8000.0",0,0,0,0,"1.0"
9013,1,1,1,1,2,1,"0.6251466352816216","1.0",0,"0.0","1.0",10238,"17000.0",0,3,0,2,"0.0"
511757,2,0,1,1,0,2,"","1.0",0,"1.0","1.0",10238,"11000.0",0,2,0,1,"0.0"
429947,3,1,1,3,3,3,"","0.0",1,"0.0","1.0",10238,"12000.0",1,6,0,5,"0.0"
485660,2,1,1,1,3,3,"0.5781305873212035","1.0",0,"0.0","1.0",92101,"14000.0",0,1,0,1,"0.0"
80496,3,1,1,3,2,3,"0.7054542902137054","1.0",0,"1.0","1.0",10238,"10000.0",0,5,1,3,"0.0"
478336,2,1,1,2,3,3,"0.6595254905875941","1.0",1,"0.0","1.0",10238,"16000.0",0,4,0,2,"0.0"
10843,2,1,1,2,3,3,"0.5873836120460223","0.0",1,"1.0","1.0",32765,"9000.0",0,10,2,0,"0.0"
397446,0,1,1,0,0,0,"0.4064824253974476","0.0",0,"0.0","0.0",10238,"16000.0",0,0,0,0,"1.0"
101678,1,0,1,1,2,0,"0.2857471319596469","0.0",0,"0.0","1.0",10238,"13000.0",0,1,0,0,"1.0"
231661,2,1,1,2,2,2,"0.5022849652731057","0.0",0,"0.0","0.0",10238,"14000.0",1,3,0,4,"0.0"
173782,3,1,1,2,2,3,"0.6256257210210231","1.0",1,"1.0","1.0",10238,"7000.0",0,7,0,5,"0.0"
